city,state,population,land_area_mi2
Bellevue,WA,"154,377",33.5
Naperville,IL,"153,124",39.1
Joliet,IL,"151,837",64.5
Bridgeport,CT,"151,599",16.1
Mesquite,TX,"150,140",48.5
Pasadena,TX,"149,617",43.7
Olathe,KS,"149,035",61.9
Escondido,CA,"148,847",37.3
Savannah,GA,"148,808",106.8
McAllen,TX,"148,782",62.3
Gainesville,FL,"148,720",63.2
Pomona,CA,"147,966",23
Rockford,IL,"147,486",64.5
Thornton,CO,"146,689",35.9
Waco,TX,"146,608",88.7
Visalia,CA,"146,271",37.9
Syracuse,NY,"146,097",25.1
Columbia,SC,"144,788",136.8
Midland,TX,"143,687",75.5
Miramar,FL,"143,242",28.9
Palm Bay,FL,"142,023",86.4
Lakewood[w],NJ,"141,985",24.7
Jackson,MS,"141,449",111.7
Coral Springs,FL,"140,808",22.9
Victorville,CA,"140,721",73.7
Elizabeth,NJ,"140,413",12.3
Fullerton,CA,"140,054",22.4
Meridian,ID,"139,740",35.1
Torrance,CA,"139,576",20.5
Stamford,CT,"139,134",37.6
West Valley City,UT,"138,144",35.8
Orange,CA,"137,941",25.7
Cedar Rapids,IA,"137,904",72.1
Warren,MI,"137,686",34.4
Hampton[l],VA,"137,596",51.5
New Haven,CT,"137,562",18.7
Pasadena,CA,"137,195",23
Kent,WA,"136,588",33.8
Dayton,OH,"136,346",55.8
Fargo,ND,"136,285",49.8
Lewisville,TX,"135,983",37
Carrollton,TX,"135,456",36.7
Round Rock,TX,"135,359",37.6
Sterling Heights,MI,"134,342",36.4
Santa Clara,CA,"133,132",18.3
Norman,OK,"131,010",178.8
Columbia,MO,"130,900",66.5
Abilene,TX,"130,501",106.7
Pearland,TX,"129,620",48.7
Athens[x],GA,"128,691",116.3
College Station,TX,"128,023",51.2
Clovis,CA,"127,993",25.4
West Palm Beach,FL,"127,744",53.8
Allentown,PA,"127,138",17.6
North Charleston,SC,"126,005",77.6
Simi Valley,CA,"125,778",41.5
Topeka,KS,"125,467",61.4
Wilmington,NC,"125,284",51.4
Lakeland,FL,"124,990",66.2
Thousand Oaks,CA,"124,229",55.3
Concord,CA,"124,016",30.6
Rochester,MN,"123,624",55.5
Vallejo,CA,"123,475",30.4
Ann Arbor,MI,"122,925",28.2
Broken Arrow,OK,"122,756",63
Fairfield,CA,"122,646",41.6
Lafayette[y],LA,"122,280",55.8
Hartford,CT,"122,129",17.4
Arvada,CO,"121,873",38.9
Berkeley,CA,"121,749",10.4
Independence,MO,"121,629",78
Billings,MT,"121,483",44.8
Cambridge,MA,"121,186",6.4
Lowell,MA,"120,418",13.6
Odessa,TX,"119,748",51.1
High Point,NC,"118,601",56.4
League City,TX,"118,456",51.3
Antioch,CA,"118,453",29.2
Richardson,TX,"118,221",28.6
Goodyear,AZ,"118,186",191.3
Pompano Beach,FL,"118,104",24
Nampa,ID,"117,350",33.5
Menifee,CA,"117,041",46.5
Las Cruces,NM,"116,998",76.9
Clearwater,FL,"116,811",26.1
West Jordan,UT,"116,688",32.3
New Braunfels,TX,"116,477",45.2
Manchester,NH,"116,386",33.1
Miami Gardens,FL,"116,173",18.2
Waterbury,CT,"115,908",28.5
Provo,UT,"115,479",41.7
Evansville,IN,"115,395",47.4
Richmond,CA,"115,353",30.1
Westminster,CO,"115,302",31.6
Elgin,IL,"114,701",38
Conroe,TX,"114,581",72
Greeley,CO,"114,363",48.9
Lansing,MI,"114,336",39.1
Buckeye,AZ,"114,334",393
Tuscaloosa,AL,"114,288",61.9
Allen,TX,"113,746",26.4
Carlsbad,CA,"113,575",37.8
Everett,WA,"113,011",33.2
Springfield,IL,"112,949",61.1
Beaumont,TX,"112,893",82.5
Murrieta,CA,"112,539",33.6
Rio Rancho,NM,"112,524",103.4
Temecula,CA,"112,431",37.3
Concord,NC,"112,395",63.5
Tyler,TX,"112,219",57.5
Davie,FL,"112,052",34.9
South Fulton,GA,"112,003",85.2
Peoria,IL,"111,696",48
Sparks,NV,"111,520",36.4
Gresham,OR,"111,507",23.5
Santa Maria,CA,"111,346",22.8
Pueblo,CO,"111,166",55.4
Hillsboro,OR,"110,337",25.7
Edison[w],NJ,"110,002",30.1
Sugar Land,TX,"109,851",40.5
Ventura[z],CA,"109,831",21.9
Downey,CA,"109,368",12.4
Costa Mesa,CA,"109,131",15.8
Centennial,CO,"108,853",29.7
Edinburg,TX,"108,733",44.7
Spokane Valley,WA,"108,267",37.7
Jurupa Valley,CA,"108,154",42.9
Bend,OR,"106,926",33.6
West Covina,CA,"106,920",16
Boulder,CO,"106,803",26.3
Palm Coast,FL,"106,729",95.4
Lee's Summit,MO,"106,419",63.9
Dearborn,MI,"106,377",24.2
Green Bay,WI,"106,311",45.5
St. George,UT,"106,288",78.5
Woodbridge[w],NJ,"106,101",23.3
Brockton,MA,"105,788",21.3
Renton,WA,"105,543",23.5
Sandy Springs,GA,"105,505",37.7
Rialto,CA,"104,918",24.1
El Monte,CA,"104,639",9.6
Vacaville,CA,"103,994",29.9
Fishers,IN,"103,986",35.6
South Bend,IN,"103,713",42
Carmel,IN,"103,606",49.1
Yuma,AZ,"103,559",120.7
Burbank,CA,"103,533",17.3
Lynn,MA,"103,489",10.7
Quincy,MA,"103,434",16.6
El Cajon,CA,"103,291",14.5
Fayetteville,AR,"103,134",54.1
Suffolk[l],VA,"103,105",399.2
San Mateo,CA,"103,006",12.1
Chico,CA,"102,911",34.1
Inglewood,CA,"102,774",9.1
Wichita Falls,TX,"102,372",72
Boca Raton,FL,"102,238",29.2
Hesperia,CA,"101,836",72.7
Daly City,CA,"101,418",7.6
Clinton[aa],MI,"101,359",28
Georgetown,TX,"101,344",57.3
New Bedford,MA,"101,318",20
Albany,NY,"101,317",21.4
Davenport,IA,"100,938",63.8
Plantation,FL,"100,694",21.8
Deltona,FL,"100,513",37.3
Federal Way,WA,"100,252",22.3
San Angelo,TX,"100,159",59.7
Tracy,CA,"100,136",25.9
Sunrise,FL,"100,128",16.2
